16:36:21_2020.08.06	Лог файла не было, был создан
16:36:47_2020.08.06	Заливаем в таблицы абонента GPA данные из книги /home/lev/Проекты/Калининград_Сте/CONF_FILE_KLN_PHG_GPA1_izm.xls
16:38:26_2020.08.06	Заливаем в таблицы абонента GPA данные из книги /home/lev/Проекты/Калининград_Сте/CONF_FILE_KLN_PHG_GPA1_izm.xls
16:39:15_2020.08.06	Заливаем в таблицы абонента GPA данные из книги /home/lev/Проекты/Калининград_Сте/CONF_FILE_KLN_PHG_GPA1_izm.xls
12:01:37_2020.08.07	Connection Failed base jdbc:postgresql://172.16.35.50:5432/kln_kc
12:26:25_2020.08.07	error PSQL request SELECT description FROM pg_description join pg_class on pg_description.objoid = pg_class.oid WHERE relname = 'opcServer1';
12:27:50_2020.08.07	error PSQL request SELECT description FROM pg_description join pg_class on pg_description.objoid = pg_class.oid WHERE relname = 'opcServer1';
12:40:19_2020.08.07	error PSQL request SELECT description FROM pg_description join pg_class on pg_description.objoid = pg_class.oid WHERE relname = 'opcServer2';
12:40:27_2020.08.07	error PSQL request null
12:40:32_2020.08.07	error PSQL request null
12:40:43_2020.08.07	error PSQL request null
12:40:49_2020.08.07	error PSQL request null
12:41:03_2020.08.07	error PSQL request null
12:41:09_2020.08.07	error PSQL request null
12:41:21_2020.08.07	error PSQL request null
12:41:24_2020.08.07	error PSQL request null
12:41:28_2020.08.07	error PSQL request null
14:34:32_2020.08.07	error PSQL request SELECT description FROM pg_description join pg_class on pg_description.objoid = pg_class.oid WHERE relname = 'GPA_AI';
